Wed Mar 19 03:38:57 2014 - Update: UPDATE members SET WHERE `id` = '1';
Wed Mar 19 03:39:55 2014 - Update: UPDATE members SET Titles = "(lp0
S'knight martial'
p1
aS'awesome'
Thu Mar 27 19:17:38 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:20:10 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:20:12 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:20:17 2014 - Update: UPDATE members SET Email = "aeonicentity@gmail.com",Titles = "(lp0
.",RealName = "David",PersName = "Alvaro Furtado" WHERE `id` = '1';
Thu Mar 27 19:20:19 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:20:26 2014 - Update: UPDATE members SET Email = "aeonicentity@gmail.com",Titles = "(lp0
.",RealName = "David Brilliant",PersName = "Alvaro Furtado" WHERE `id` = '1';
Thu Mar 27 19:21:24 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:21:38 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:21:59 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:22:02 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:22:05 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:22:26 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:22:28 2014 - Update: UPDATE members SET Email = "aeonicentity@gmail.com",Titles = "(lp0
.",RealName = "David Brilliant",PersName = "Alvaro Furtado" WHERE `id` = '1';
Thu Mar 27 19:25:05 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:25:07 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:25:10 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:26:09 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:26:21 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:26:42 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:27:09 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:27:35 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:28:15 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:29:59 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:30:16 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:30:19 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:30:36 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:30:38 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:30:44 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:32:22 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:32:23 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:32:32 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:32:34 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:33:14 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:33:14 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:33:17 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:33:21 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:34:40 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:35:23 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:35:28 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:35:34 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:37:28 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:40:06 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:40:54 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:41:51 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:41:57 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:42:59 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:43:43 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:43:58 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:45:43 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:49:41 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:50:19 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:50:44 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:51:30 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:51:55 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:51:55 2014 - Select: SELECT * FROM `groups` WHERE id = [('id', '=', 1)];
Thu Mar 27 19:52:44 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:52:44 2014 - Select: SELECT * FROM `groups` WHERE id = [('id', '=', 1)];
Thu Mar 27 19:54:29 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:54:29 2014 - Select: SELECT * FROM `groups` WHERE id = [('id', '=', 1)];
Thu Mar 27 19:54:34 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 19:54:34 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:01:38 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:11:46 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:11:46 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:12:05 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:12:05 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:12:11 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:12:39 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:14:10 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:14:10 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:14:13 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:14:36 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:14:36 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:14:41 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:20:06 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:20:06 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:20:08 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:20:32 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:20:32 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 20:20:32 2014 - Select: SELECT * FROM `groups` WHERE id = {u'isPrimary': 1, u'MemberId': 1, u'id': 1, u'UnitId': 1};
Thu Mar 27 20:20:37 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:20:37 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 20:20:37 2014 - Select: SELECT * FROM `groups` WHERE id = {u'isPrimary': 1, u'MemberId': 1, u'id': 1, u'UnitId': 1};
Thu Mar 27 20:21:55 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:21:55 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:21:57 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:21:57 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 20:21:57 2014 - Select: SELECT * FROM `groups` WHERE id = {u'isPrimary': 1, u'MemberId': 1, u'id': 1, u'UnitId': 1};
Thu Mar 27 20:22:05 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:22:05 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 20:22:05 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:22:15 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:22:15 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 20:22:15 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:22:42 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:22:42 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:22:50 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:22:50 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:23:34 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:23:34 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 20:23:34 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:24:10 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:24:10 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:24:15 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:24:15 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 20:24:15 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:24:21 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:24:21 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 20:24:21 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:24:32 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:24:32 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 20:24:32 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:24:32 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:24:32 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 20:24:32 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:24:35 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:24:35 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 20:24:35 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:25:46 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:25:46 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:25:46 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 20:25:50 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:25:50 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 20:25:50 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:26:56 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:26:56 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 20:26:56 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:28:31 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:28:31 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 20:28:31 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:28:40 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:28:40 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 20:28:40 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:29:56 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:29:56 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 20:29:56 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:29:57 2014 - Update: UPDATE members SET Email = "aeonicentity@gmail.com",Titles = "(lp0
.",RealName = "David Brilliant",PersName = "Alvaro Furtado" WHERE `id` = '1';
Thu Mar 27 20:29:57 2014 - Update: UPDATE rel_group__user SET isPrimary = "0" WHERE `MemberId` = '1' AND `isPrimary` = '1';
Thu Mar 27 20:30:00 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:30:43 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:30:43 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 20:30:43 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:30:45 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:30:45 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 20:30:45 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:30:55 2014 - Update: UPDATE members SET Email = "aeonicentity@gmail.com",Titles = "(lp0
.",RealName = "David Brilliant",PersName = "Alvaro Furtado" WHERE `id` = '1';
Thu Mar 27 20:30:55 2014 - Update: UPDATE rel_group__user SET isPrimary = "0" WHERE `MemberId` = '1' AND `isPrimary` = '1';
Thu Mar 27 20:33:17 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:33:17 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:33:17 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 20:33:21 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:33:21 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 20:33:21 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:33:23 2014 - Update: UPDATE members SET Email = "aeonicentity@gmail.com",Titles = "(lp0
.",RealName = "David Brilliant",PersName = "Alvaro Furtado" WHERE `id` = '1';
Thu Mar 27 20:33:33 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:33:33 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:33:33 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 20:33:36 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:33:36 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 20:33:36 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:33:38 2014 - Update: UPDATE members SET Email = "aeonicentity@gmail.com",Titles = "(lp0
.",RealName = "David Brilliant",PersName = "Alvaro Furtado" WHERE `id` = '1';
Thu Mar 27 20:33:38 2014 - Update: UPDATE rel_group__user SET isPrimary = "0" WHERE `MemberId` = '1' AND `isPrimary` = '1';
Thu Mar 27 20:37:22 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:37:22 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:37:22 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 20:37:29 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:37:33 2014 - Update: UPDATE members SET Email = "aeonicentity@gmail.com",Titles = "(lp0
.",RealName = "David Brilliant",PersName = "Alvaro Furtado" WHERE `id` = '1';
Thu Mar 27 20:37:34 2014 - Update: UPDATE rel_group__user SET isPrimary = "0" WHERE `MemberId` = '1' AND `isPrimary` = '1';
Thu Mar 27 20:37:39 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:37:44 2014 - Update: UPDATE members SET Email = "aeonicentity@gmail.com",Titles = "(lp0
.",RealName = "David Brilliant",PersName = "Alvaro Furtado" WHERE `id` = '1';
Thu Mar 27 20:37:44 2014 - Update: UPDATE rel_group__user SET isPrimary = "0" WHERE `MemberId` = '1' AND `isPrimary` = '1';
Thu Mar 27 20:37:45 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:37:50 2014 - Update: UPDATE members SET Email = "aeonicentity@gmail.com",Titles = "(lp0
.",RealName = "David Brilliant",PersName = "Alvaro Furtado" WHERE `id` = '1';
Thu Mar 27 20:37:50 2014 - Update: UPDATE rel_group__user SET isPrimary = "0" WHERE `MemberId` = '1' AND `isPrimary` = '1';
Thu Mar 27 20:37:52 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:37:57 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:37:57 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:38:00 2014 - Update: UPDATE members SET Email = "aeonicentity@gmail.comaeonicentity@gmail.com",Titles = "(lp0
.",RealName = "David BrilliantDavid Brilliant",PersName = "Alvaro FurtadoAlvaro Furtado" WHERE `id` = '1';
Thu Mar 27 20:38:01 2014 - Update: UPDATE rel_group__user SET isPrimary = "0" WHERE `MemberId` = '1' AND `isPrimary` = '1';
Thu Mar 27 20:38:47 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:38:48 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:38:48 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 20:38:49 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:38:49 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 20:38:49 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:39:01 2014 - Update: UPDATE members SET Email = "aeonicentity@gmail.com",Titles = "(lp0
.",RealName = "David Brilliant",PersName = "Alvaro Furtado" WHERE `id` = '1';
Thu Mar 27 20:39:01 2014 - Update: UPDATE rel_group__user SET isPrimary = "0" WHERE `MemberId` = '1' AND `isPrimary` = '1';
Thu Mar 27 20:39:07 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:39:07 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:39:07 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 20:39:10 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:39:37 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:39:37 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:39:37 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 20:39:41 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:39:41 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 20:39:41 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:42:42 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:42:42 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:42:42 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 20:42:45 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:42:45 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 20:42:45 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:42:48 2014 - Update: UPDATE members SET Email = "aeonicentity@gmail.com",Titles = "(lp0
.",RealName = "David Brilliant",PersName = "Alvaro Furtado" WHERE `id` = '1';
Thu Mar 27 20:42:48 2014 - Update: UPDATE rel_group__user SET isPrimary = "0" WHERE `MemberId` = '1' AND `isPrimary` = '1';
Thu Mar 27 20:43:15 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:43:15 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:43:15 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 20:43:19 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:43:19 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 20:43:19 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:43:20 2014 - Update: UPDATE members SET Email = "aeonicentity@gmail.com",Titles = "(lp0
.",RealName = "David Brilliant",PersName = "Alvaro Furtado" WHERE `id` = '1';
Thu Mar 27 20:43:37 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:43:37 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:43:37 2014 - Select: SELECT * FROM `groups` WHERE id = 2;
Thu Mar 27 20:43:40 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:43:40 2014 - Select: SELECT * FROM `rel_group__user` WHERE id = 1;
Thu Mar 27 20:43:40 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
Thu Mar 27 20:43:42 2014 - Update: UPDATE members SET Email = "aeonicentity@gmail.com",Titles = "(lp0
.",RealName = "David Brilliant",PersName = "Alvaro Furtado" WHERE `id` = '1';
Thu Mar 27 20:43:57 2014 - Select: SELECT * FROM `members` WHERE id = 1;
Thu Mar 27 20:43:57 2014 - Select: SELECT * FROM `groups` WHERE id = 1;
